date,indiv_net_kospi,indiv_net_kosdaq,indiv_net_total,inst_net_kospi,inst_net_kosdaq,inst_net_total,foreign_net_kospi,foreign_net_kosdaq,foreign_net_total
2025-10-30,1046636.6900000003,-123235.91,922524.7000000001,-813606.0100000004,-30136.310000000023,-845202.1200000006,-253028.58999999982,207425.59999999957,-43192.18999999985
2025-10-31,-125112.21999999952,-316518.6599999999,-442886.1099999998,-1114326.28,144995.38000000018,-968098.7799999998,1252124.4000000018,178981.57000000004,1431151.7
2025-11-03,655173.9099999995,-357821.6199999995,299977.43000000046,190992.2200000001,8282.400000000005,198298.77000000043,-831417.549999999,403267.20000000007,-429679.02999999933
2025-11-04,2622062.1800000016,-354435.60999999987,2267445.0000000033,-447547.8000000001,168242.03000000017,-283323.8299999997,-2203438.4299999992,217903.14000000033,-1981266.1200000031
2025-11-05,2588333.8999999943,550566.6300000009,3136021.3099999935,-191190.42000000013,46908.500000000124,-140783.82000000015,-2099592.8500000006,-580034.1299999998,-2680381.720000009
2025-11-06,894078.2800000001,116672.40000000005,1016934.7099999997,805622.4599999996,17673.99000000001,821951.1100000007,-1685034.6899999976,-115607.42000000003,-1804291.5499999989
2025-11-07,670629.7800000006,58875.799999999974,756971.8299999998,-255596.9599999998,-69715.45000000001,-340878.9099999995,-419102.7500000001,46408.13999999992,-403650.43000000087
2025-11-10,-1149971.7700000035,-25978.110000000037,-1172613.3300000029,1280108.3999999992,65534.71000000004,1339384.9500000004,-132867.2299999995,-46580.390000000174,-177224.7699999998
2025-11-11,-222639.09000000003,66184.88999999993,-156739.5599999998,177370.63000000035,-81216.77000000008,93135.49000000002,57301.26999999992,22348.81000000001,86069.20999999996
2025-11-12,-432721.1599999993,-330117.2800000009,-772872.3800000004,910443.9200000014,115379.54999999987,1018800.6400000018,-438932.18999999977,222225.39999999982,-197243.36999999968
2025-11-13,-201217.96999999983,27534.920000000006,-178006.98000000013,-736722.2999999988,96884.89999999992,-641440.1999999984,985423.0499999992,-74429.49000000005,917171.419999999
2025-11-14,3167162.1599999983,359941.4600000007,3523080.0700000017,-876085.7599999995,-26510.170000000024,-904213.6599999984,-2330161.7699999996,-297365.80999999965,-2620089.279999999
2025-11-17,-453349.95,28051.460000000017,-429009.0400000006,-62167.23000000007,70410.56999999988,5037.279999999922,512422.68000000087,-38000.969999999994,482032.7600000006
2025-11-18,1237892.1200000006,365190.8900000002,1603384.239999998,-718594.1300000004,-110832.25000000007,-832115.84,-513253.1699999997,-175947.19000000018,-686417.8000000007
2025-11-19,469355.45999999944,8384.199999999993,473486.4400000003,585695.5800000002,76425.70999999986,660087.2500000023,-1032027.9400000017,-69354.83000000002,-1094825.3
2025-11-20,-1357321.7500000012,-117545.52000000021,-1476392.010000002,699764.4999999991,17995.08999999999,712019.339999999,777222.7400000007,174343.87999999995,959699.6800000007
2025-11-21,2269738.040000005,213179.26000000042,2480754.880000003,478515.37999999983,-77546.0300000001,402112.9800000007,-2818151.4699999983,-120452.6599999999,-2937366.5199999916
2025-11-24,-460456.45000000065,61013.809999999976,-399519.640000001,1234336.0499999996,-23275.119999999984,1209652.869999997,-763219.7400000006,-44476.89999999995,-806066.600000001
2025-11-25,23044.590000000022,-73650.71999999999,-52533.09999999997,3850.120000000005,-1826.3699999999967,1214.4299999999669,-27077.33000000008,112633.36999999986,88444.65999999983
2025-11-26,-1680655.9500000004,-257017.55999999965,-1940856.940000004,1240333.7600000002,87989.38,1327118.5799999994,388337.7300000003,192631.2199999998,585306.2900000004
2025-11-27,-618933.9900000008,107272.99000000006,-513362.3399999997,423946.9299999998,-11841.369999999988,411449.0399999997,173232.12999999983,-77832.25000000001,97940.91999999997
2025-11-28,1528727.4699999983,-1008739.0799999995,519357.9999999993,469869.3800000013,612805.9600000005,1081439.5099999998,-2011139.4400000034,445352.54,-1563993.2800000005
2025-12-01,83626.2400000002,-185799.64000000048,-104133.61000000019,-230510.0700000003,355975.6000000003,128307.54000000004,187367.8900000002,-140931.69999999995,45512.26999999993
2025-12-02,-1485343.5800000003,34978.12999999996,-1451983.120000006,378725.22999999963,138185.40000000008,515368.15000000026,1142392.389999999,-131423.29999999976,1014078.1199999998
2025-12-03,-863560.6500000001,103653.11999999992,-758481.0699999993,711069.9900000002,-12243.200000000006,694968.0800000017,273552.5399999999,-13021.39999999999,262875.1200000006
2025-12-04,615876.3200000004,-88397.48999999995,521560.2599999995,110875.20000000019,81693.71999999993,191929.23999999985,-734639.0799999996,100546.79999999994,-627102.2099999993
2025-12-05,-2003236.8799999952,305516.9100000003,-1701103.4699999972,1079430.3700000015,-175075.98000000042,906398.4799999994,961161.9899999978,-128003.86000000004,834394.3699999984
2025-12-08,-344194.8299999999,-161463.66000000006,-503927.8599999988,-53365.189999999966,-183442.7600000001,-236062.90999999977,344127.05,391994.73000000016,734168.0200000019
2025-12-09,47439.5800000001,199931.14000000025,246150.15999999995,41887.840000000106,-103756.98000000011,-64528.55999999995,-141205.13000000024,-49846.41999999994,-187419.50999999992
2025-12-10,-66553.16999999993,-58210.710000000014,-122907.42000000052,-307918.9900000004,-2275.1799999999334,-312709.70000000007,357559.4500000002,103497.16000000002,461692.74999999977
2025-12-11,465141.1199999991,38355.60000000009,504914.759999998,-776414.9099999983,-12403.049999999987,-788742.7999999974,293439.82999999996,19630.76000000008,311160.12999999995
2025-12-12,-1382418.5500000017,-175228.93000000005,-1552313.9300000023,1418022.0900000015,52858.700000000026,1465500.1699999983,-32184.229999999996,200585.4699999999,168766.4700000001
2025-12-15,1431443.6899999995,147358.30000000016,1568181.85,-494148.49999999977,-109491.67999999996,-594456.2000000005,-952699.5900000002,-15600.719999999992,-966785.4500000027
2025-12-16,1229758.619999999,374367.2900000002,1604597.8199999966,-203079.34000000003,3366.329999999987,-199931.02999999994,-1054843.52,-334727.21000000037,-1387337.1099999996
2025-12-17,-236107.19000000015,252345.10999999984,16769.599999999737,354710.74000000017,19728.179999999946,373848.51,-147864.20999999985,-218852.58000000013,-366662.15
2025-12-18,374911.6599999999,85638.57999999994,464798.17,-86629.35999999977,-6460.100000000001,-101722.0399999996,-321407.3800000001,-80236.8799999999,-397419.28999999934
2025-12-19,-94857.81999999993,-260283.81000000006,-354557.0599999997,844706.6599999996,207695.81999999995,1055932.8200000005,-787001.1200000009,75314.58000000012,-715662.9400000006
2025-12-22,-2649234.080000002,71890.20999999995,-2576700.0099999965,1595025.5499999984,79327.36999999995,1672538.0400000005,1102598.2299999995,-45512.39000000014,1058276.649999998
2025-12-23,-1259848.039999998,129134.90000000001,-1130724.2399999981,358598.6299999996,51221.249999999985,410369.2599999998,925601.3099999994,-106935.94000000008,817565.5599999997
2025-12-24,-719003.7100000014,-11030.520000000139,-729068.5900000014,196588.69000000024,76346.06999999982,271501.62999999995,533614.0500000011,-27614.450000000023,505300.350000002
2025-12-26,-2249408.7300000046,-472319.49999999965,-2722054.0100000063,432755.6100000001,363626.65000000014,795373.9199999996,1717495.5300000005,112204.48000000003,1830970.2499999998
2025-12-29,90401.83999999992,192734.90000000023,285442.6599999987,-343864.2199999995,-172178.76999999993,-518218.41000000056,339770.66999999987,71639.35999999997,411186.5699999995
2025-12-30,819473.5599999999,522842.9000000006,1344591.2200000016,-424614.8500000002,-168832.36999999997,-596377.9099999991,-417190.7999999999,-319371.38999999984,-735914.5999999982
2026-01-02,-259420.42000000025,-154364.16,-415914.97999999975,-332442.09000000026,82970.8799999999,-249022.59000000003,567611.5099999999,73622.60999999997,642674.5
2026-01-05,-1351696.1299999978,103480.90999999995,-1269844.9500000016,-749688.13,-2367.6299999999997,-723508.3699999993,2063192.9500000014,-84722.13000000008,1967599.3800000038
2026-01-06,547408.2900000004,338642.75000000064,880155.299999999,-71378.98000000007,-27324.50000000003,-92898.70000000016,-581821.6000000015,-290659.3900000005,-877288.0300000035
2026-01-07,-250832.5999999997,162261.14000000013,-94934.87999999929,-1027218.9499999997,-111548.87000000017,-1129584.0599999956,1297201.5800000015,288501.1799999997,1583073.240000002
2026-01-08,1181067.4700000011,35569.709999999985,1212302.2599999995,-1435869.1599999976,36319.14000000006,-1395635.9299999932,1564.889999999859,-70169.44000000002,-68431.7500000002
2026-01-09,222347.53000000012,111435.82999999996,333253.0600000008,1198868.7199999988,69596.66999999991,1274764.4699999986,-1693582.1699999983,-171046.04000000024,-1871202.799999997
2026-01-12,-83748.83999999982,108184.97000000012,21320.530000000024,217521.5800000001,-64276.05999999999,154115.72999999998,-374705.8099999995,-21137.729999999974,-392782.50999999966
2026-01-13,-715089.0400000003,308628.39999999944,-409665.5500000004,784102.2800000005,-141834.54,644126.2700000021,-272286.5000000002,-158200.25,-428723.38999999844
2026-01-14,-397129.60000000015,396375.0000000004,-7304.359999999836,565072.6999999995,-152874.15999999986,415402.6900000002,-387869.8299999996,-244966.06999999986,-630060.1800000013
2026-01-15,-1718593.8799999997,-255535.37999999968,-1972974.489999999,1286728.8200000008,-25668.960000000043,1261605.8600000003,247945.58999999994,311789.53999999975,558109.4500000007
2026-01-16,-924268.9400000002,35033.759999999995,-890743.1800000003,261721.97999999957,40189.56999999998,305770.54000000126,473172.1399999998,-64357.51000000003,406503.7900000002
2026-01-19,-884680.4399999988,-126062.13000000015,-1020666.89,-73756.23000000003,-35034.100000000035,-109155.3700000002,727795.3500000021,212166.07999999975,949611.3300000035
2026-01-20,255530.32999999958,-293920.81000000046,-42526.28000000044,-646359.6600000001,279194.1,-366799.8199999999,204075.28999999998,6841.929999999964,214533.08999999988
2026-01-21,-812514.9300000019,926662.8899999986,111974.89999999916,269178.46000000084,-653028.8300000007,-379714.78999999835,310583.6999999997,-253091.38999999958,55386.98000000018
2026-01-22,36564.34000000042,57047.41000000002,92700.3400000002,-175504.86000000002,-133835.65999999983,-309495.6400000003,-107559.50000000025,100601.01000000014,-5654.710000000432
2026-01-23,-689397.1900000013,-1014198.8200000004,-1707014.0499999975,462213.70999999956,971955.1899999997,1429018.3200000022,122710.8999999999,87797.31000000003,219332.08000000002
2026-01-26,1661944.2300000037,-2876696.5999999954,-1216961.889999996,-1543030.5299999996,2623083.1099999947,1081533.6600000039,-111907.7000000003,421284.81,309520.2199999998
2026-01-27,-992618.3700000009,-1477261.3000000007,-2471804.219999998,228869.0100000001,1656260.7200000011,1884615.869999999,837417.9900000001,-90565.92000000016,748322.8900000018
2026-01-28,1242760.6799999985,-2649591.3699999996,-1404008.4799999993,-1430826.7299999972,2305528.8199999975,873880.2599999981,392172.0700000005,492767.55000000045,883987.7700000015
2026-01-29,1598803.269999997,-2095590.0700000008,-498008.1700000001,-188773.89000000028,2042714.2399999986,1854359.3499999987,-1452188.3400000003,190492.0600000002,-1262067.7800000012
2026-01-30,2319860.250000003,-1031510.5300000014,1276098.3699999994,-438543.9300000004,1341317.9699999993,905560.5199999984,-1981392.7600000005,-117953.59999999979,-2088251.6100000003
2026-02-02,4523045.560000013,181624.4600000003,4706396.05,-2212625.9799999986,-550706.5699999995,-2761223.110000006,-2465937.599999999,444920.06000000023,-2024952.3
2026-02-03,-2782400.3100000005,-688624.8600000005,-3469249.3300000075,2154453.2900000014,863123.270000001,3017093.2399999965,570465.5000000002,-107765.43999999984,461353.9500000001
2026-02-04,-1062527.6399999994,249112.0000000001,-796548.91,1742352.009999999,-152397.66000000047,1588694.3900000006,-841077.2999999986,-6311.740000000001,-863267.2999999995
