code,name,sector
007815,코리아써우,전자장비와기기
353200,대덕전자,전자장비와기기
052960,태양3C,전자장비와기기
015260,에이엔피,전자장비와기기
027040,서울전자통신,전자장비와기기
094840,슈프리마에이치큐,전자장비와기기
368600,아이씨에이치,전자장비와기기
030530,원익홀딩스,반도체와반도체장비
064290,인텍플러스,반도체와반도체장비
071280,로체시스템즈,반도체와반도체장비
452430,사피엔반도체,반도체와반도체장비
031980,피에스케이홀딩스,반도체와반도체장비
323350,다원넥스뷰,반도체와반도체장비
170920,엘티씨,반도체와반도체장비
405100,큐알티,반도체와반도체장비
095610,테스,반도체와반도체장비
440110,파두,반도체와반도체장비
240810,원익IPS,반도체와반도체장비
042700,한미반도체,반도체와반도체장비
281820,케이씨텍,반도체와반도체장비
388210,씨엠티엑스,반도체와반도체장비
092870,엑시콘,반도체와반도체장비
396270,넥스트칩,반도체와반도체장비
311320,지오엘리먼트,반도체와반도체장비
094360,칩스앤미디어,반도체와반도체장비
036930,주성엔지니어링,반도체와반도체장비
402340,SK스퀘어,반도체와반도체장비
095340,ISC,반도체와반도체장비
039030,이오테크닉스,반도체와반도체장비
303030,지니틱스,반도체와반도체장비
131290,티에스이,반도체와반도체장비
382800,지앤비에스 에코,반도체와반도체장비
024850,HLB이노베이션,반도체와반도체장비
007660,이수페타시스,반도체와반도체장비
064760,티씨케이,반도체와반도체장비
252990,샘씨엔에스,반도체와반도체장비
089890,코세스,반도체와반도체장비
348210,넥스틴,반도체와반도체장비
079370,제우스,반도체와반도체장비
083450,GST,반도체와반도체장비
399720,가온칩스,반도체와반도체장비
080220,제주반도체,반도체와반도체장비
084370,유진테크,반도체와반도체장비
005935,삼성전자우,반도체와반도체장비
098120,마이크로컨텍솔,반도체와반도체장비
424980,마이크로투나노,반도체와반도체장비
093640,케이알엠,반도체와반도체장비
425420,티에프이,반도체와반도체장비
054620,APS,반도체와반도체장비
482630,삼양엔씨켐,반도체와반도체장비
077360,덕산하이메탈,반도체와반도체장비
033160,엠케이전자,반도체와반도체장비
