종목명,시가총액(억원),2026_영업이익(십억원),2027_영업이익(십억원),영업이익_증가율
로보티즈,33647.1,0.1,21.1,251.8
토모큐브,4986.2,0.1,11.1,110.0
SFA반도체,8214.8,1.0,87.0,86.0
케이엠더블유,6986.9,1.6,111.9,68.9375
덕산테코피아,2252.4,1.2,37.2,30.0
그래피,2109.9,0.3,8.3,26.6667
벡트,456.5,0.1,2.3,22.0
SK케미칼,7550.9,7.8,115.4,13.7006
쎄크,512.8,0.9,9.4,9.4444
신성에스티,1789.0,3.0,26.0,7.6667
와이랩,345.8,0.4,3.1,6.75
필옵틱스,5954.3,4.3,33.0,6.6744
심플랫폼,294.6,0.5,3.8,6.6
대교,892.4,0.3,2.2,6.3333
사피엔반도체,2229.0,2.4,16.8,6.1489
아이티엠반도체,1898.6,3.8,26.2,5.8947
에스투더블유,1198.4,1.3,8.9,5.8462
제주항공,3552.2,9.0,60.6,5.7317
엔비알모션,621.0,1.5,9.9,5.6
엠로,1975.6,1.6,10.3,5.4375
동운아나텍,6555.3,1.5,9.6,5.4
삼천당제약,38634.5,45.0,281.0,5.2444
인텍플러스,3822.5,6.5,38.6,4.9462
삼아알미늄,7138.3,7.4,41.9,4.6622
루미르,1101.1,1.9,10.3,4.4211
한올바이오파마,28262.2,1.9,10.4,4.3793
오이솔루션,3286.3,4.1,22.0,4.3659
오로스테크놀로지,1272.9,5.0,26.8,4.36
넥스트칩,675.8,4.4,22.5,4.1136
LG에너지솔루션,842400.0,825.4,3851.4,3.666
동국S&C,858.9,2.0,9.0,3.5
삼성SDI,369887.6,323.1,1422.5,3.4024
아스테라시스,2306.6,4.5,19.3,3.3371
오스코텍,13371.2,34.0,138.0,3.0588
아크릴,1304.9,1.8,6.8,2.7778
모두투어,1685.9,5.1,18.7,2.6667
세경하이테크,1105.4,8.3,30.4,2.6407
금양그린파워,949.0,3.0,10.8,2.6
HEM파마,3039.3,11.8,41.5,2.5169
비나텍,4789.3,6.2,21.6,2.4839
율촌화학,3680.3,13.1,45.4,2.4656
코스모신소재,12139.9,15.7,52.5,2.3408
아모텍,1797.3,9.2,29.8,2.2568
스피어,11882.6,17.4,56.4,2.2478
바이오다인,2464.5,4.8,15.5,2.2292
쓰리에이로직스,389.9,4.1,13.2,2.2195
SBS,2170.5,12.8,40.4,2.1544
LS마린솔루션,16063.4,21.3,66.1,2.1033
E1,5968.2,140.5,433.5,2.0854
두산로보틱스,45827.7,13.0,40.0,2.0769
한진,2344.9,40.0,122.0,2.05
LG화학,194834.9,1302.1,3950.8,2.034
제이앤티씨,8417.0,54.0,163.7,2.0315
유티아이,441.3,44.0,133.0,2.0227
레인보우로보틱스,90209.3,4.0,12.0,2.0
엔바이오니아,384.2,5.4,16.0,1.963
컨텍,1226.5,4.8,14.2,1.9583
기가비스,13981.4,29.7,83.6,1.811
지슨,361.3,4.0,10.6,1.65
아바텍,1124.9,7.4,19.6,1.6486
유니테스트,1842.9,23.9,63.0,1.6339
시지메드텍,1085.3,2.9,7.6,1.6207
제노코,1279.4,1.9,4.9,1.5789
두산테스나,12311.5,44.3,111.5,1.5162
파두,28613.4,85.9,215.8,1.5122
범한퓨얼셀,1370.2,4.0,10.0,1.5
우리넷,794.5,8.7,21.7,1.4943
예스티,4407.3,27.1,67.5,1.4843
주성엔지니어링,59402.9,55.9,134.2,1.4007
KG모빌리티,5848.6,36.1,85.3,1.3629
성일하이텍,4335.0,10.3,24.1,1.3237
세아제강지주,4742.2,152.5,351.6,1.3056
성호전자,12346.8,45.2,104.2,1.3039
석경에이티,1824.7,11.0,25.0,1.2727
와이씨켐,1993.8,9.5,21.4,1.2526
뷰노,1115.9,4.5,10.0,1.2222
핑거,1113.9,7.3,15.9,1.1781
알멕,1815.2,14.9,32.5,1.175
마크로젠,1335.7,12.4,26.9,1.1694
엠엑스로보틱스,636.1,5.1,11.0,1.1569
세코닉스,514.8,5.3,11.4,1.1509
펨트론,2460.9,45.1,96.3,1.1353
서진시스템,21704.9,162.1,345.0,1.1281
코스텍시스,1590.7,9.5,20.1,1.1158
서울반도체,5218.3,16.1,34.0,1.1118
쎄트렉아이,8191.6,20.5,42.6,1.0805
지씨지놈,1236.9,3.1,6.5,1.0745
가온전선,43981.5,137.0,283.0,1.0657
자이에스앤디,3226.7,57.0,117.0,1.0526
도우인시스,1877.0,14.9,30.5,1.047
LIG아큐버,2376.2,19.4,39.1,1.0207
오킨스전자,2708.1,27.7,55.6,1.0072
한중엔시에스,3095.7,14.3,28.7,1.007
에이디테크놀로지,4018.4,20.9,41.7,0.9952
롯데하이마트,1529.8,13.7,27.2,0.9878
위메이드,5557.4,47.0,93.0,0.9787
마이크로디지탈,350.3,7.4,14.4,0.9459
에코프로비엠,104678.6,86.9,167.7,0.9311
삼성전기,954585.4,1926.4,3701.4,0.9214
대한항공,99971.9,1158.6,2211.0,0.9083
네오티스,2418.2,18.0,34.1,0.8972
콘텐트리중앙,313.4,23.4,44.2,0.8862
하이비젼시스템,1583.9,23.8,44.7,0.8768
한화시스템,133566.0,251.8,471.1,0.8711
나무가,1891.7,15.1,27.8,0.8411
에이직랜드,1995.0,5.0,9.2,0.84
넥스틴,3253.1,21.4,39.2,0.8318
엠케이전자,4069.5,48.4,88.1,0.8202
현대제철,37765.2,372.2,675.5,0.8151
하나기술,1115.3,10.2,18.5,0.8137
에코프로머티,25457.6,107.6,194.8,0.8104
신성이엔지,3074.4,20.2,36.2,0.7921
한스바이오메드,3087.6,18.7,33.2,0.7792
대원제약,1830.1,19.4,34.5,0.7758
포스코퓨처엠,138578.2,102.8,181.9,0.7693
알테오젠,163438.3,257.4,455.3,0.7692
지엔씨에너지,8602.8,41.5,73.2,0.766
엑시콘,2003.3,16.0,28.2,0.7625
RF시스템즈,1024.9,5.5,9.6,0.7623
아모센스,747.5,11.0,19.4,0.7575
테크윙,16155.4,98.5,172.9,0.7553
디케이티,3480.2,33.3,58.1,0.744
에어부산,2499.1,39.0,68.0,0.7436
비씨엔씨,1238.8,9.3,16.2,0.7419
에스티아이,3279.7,75.1,130.6,0.739
나노신소재,5842.9,13.0,22.4,0.7231
하이브,79747.6,285.0,490.2,0.7201
메디아나,1716.6,21.7,37.1,0.7097
케이뱅크,22678.4,116.4,198.6,0.7062
파인엠텍,3657.8,31.4,53.4,0.7018
태광,5988.3,48.2,82.0,0.7012
에이치브이엠,6098.4,17.5,29.7,0.6996
DI동일,5096.0,12.3,20.9,0.6992
레이,843.0,7.6,12.9,0.6974
옵트론텍,673.0,14.0,23.7,0.6929
엘앤씨바이오,16721.2,37.0,62.7,0.692
KCC글라스,3984.6,46.1,77.6,0.6833
현대힘스,5131.3,37.0,62.0,0.6757
심텍,41210.3,231.1,387.0,0.6749
온코닉테라퓨틱스,6379.8,27.1,45.5,0.674
아이센스,5291.3,14.2,23.8,0.6702
네패스아크,2966.8,26.4,44.1,0.6692
에코프로에이치엔,4918.6,33.0,55.0,0.6677
덕산하이메탈,4207.5,32.8,54.5,0.6606
삼성생명,551000.0,3347.2,5541.1,0.6555
엘티씨,3755.5,65.0,107.6,0.6554
한국자산신탁,2845.2,40.0,66.0,0.65
큐알티,1292.8,16.2,26.5,0.6358
한국피아이엠,3899.8,4.4,7.1,0.6136
아모그린텍,973.3,14.4,23.2,0.6111
상아프론테크,2169.7,11.0,17.7,0.6091
이노메트리,502.5,2.8,4.5,0.6071
에프에스티,4327.8,23.1,37.1,0.6061
페스카로,631.5,7.8,12.5,0.6026
유한양행,64196.0,129.1,206.3,0.5975
엘케이켐,1219.4,10.8,17.2,0.5899
현대리바트,1188.7,15.7,24.9,0.586
한화엔진,35465.0,227.9,360.9,0.584
드림텍,3030.8,40.2,63.6,0.5816
태웅,6202.3,30.2,47.8,0.5802
상신이디피,2111.2,28.3,44.7,0.5776
한국항공우주,150306.6,385.0,606.9,0.5766
SK오션플랜트,8390.8,70.2,110.5,0.5751
아나패스,1709.4,43.4,68.3,0.5737
제닉,2287.0,24.6,38.7,0.5732
핌스,214.4,4.9,7.7,0.5714
OCI홀딩스,50876.4,354.4,555.2,0.5665
RF머트리얼즈,3134.8,16.7,26.1,0.5652
인탑스,2952.1,18.6,28.9,0.5606
비아이매트릭스,464.1,10.0,15.6,0.56
에이치피오,912.6,17.0,26.4,0.5529
롯데케미칼,26093.0,146.3,227.2,0.5525
인텔리안테크,7580.7,38.9,59.7,0.5355
더핑크퐁컴퍼니,1707.8,26.0,39.9,0.5346
파미셀,6714.4,59.8,91.3,0.5262
신흥에스이씨,1856.6,21.3,32.4,0.5211
CJ ENM,7773.9,138.4,210.3,0.5193
코리아써키트,13358.3,146.7,222.8,0.5191
유니셈,2302.9,28.0,42.2,0.5071
아세아시멘트,3378.4,78.9,118.9,0.5068
모나용평,1073.4,23.7,35.7,0.5063
엠엑스온,742.6,9.3,14.0,0.5054
LB세미콘,2273.9,33.7,50.7,0.5045
선익시스템,6846.3,92.6,139.3,0.504
웅진씽크빅,691.0,2.0,3.0,0.5
드림씨아이에스,834.0,10.0,15.0,0.5
뉴로메카,2411.1,2.0,3.0,0.5
에스엠씨지,599.2,6.3,9.4,0.4921
씨엠티엑스,7115.3,68.9,102.7,0.491
대덕전자,51294.8,275.9,408.1,0.479
한화비전,24688.8,203.1,299.7,0.4752
SK디앤디,973.7,63.3,93.3,0.4747
SK하이닉스,10387601.4,266375.7,392712.0,0.4743
피엔에이치테크,346.8,3.6,5.3,0.4722
한미반도체,183285.4,382.2,561.7,0.4696
브이엠,15927.7,95.0,139.3,0.4668
HJ중공업,15079.3,205.0,299.0,0.4585
LG디스플레이,48850.0,964.9,1404.6,0.4557
씨어스,8753.7,63.3,92.1,0.4557
삼기에너지솔루션즈,880.8,9.0,13.1,0.4556
큐렉소,3622.6,5.3,7.7,0.4528
씨피시스템,1395.5,4.0,5.8,0.45
아이쓰리시스템,4669.3,19.6,28.3,0.4476
RFHIC,12875.8,55.1,79.8,0.4468
해성디에스,8976.0,102.0,147.4,0.4452
티엘비,6660.1,55.4,79.9,0.4429
두산에너빌리티,493872.6,1130.2,1626.5,0.4391
닷밀,311.8,5.7,8.2,0.4386
LS ELECTRIC,301500.0,716.5,1030.2,0.4379
원익IPS,43341.1,194.6,279.8,0.4375
한솔아이원스,2713.0,42.7,61.3,0.4356
삼성중공업,194040.0,1387.5,1990.5,0.4346
한화솔루션,58271.6,806.8,1156.3,0.4331
엑셈,976.9,15.3,21.9,0.4314
SFA,7774.2,124.7,178.2,0.4293
우신시스템,720.7,26.5,37.8,0.4264
대한제강,2880.3,23.5,33.5,0.4255
화승엔터프라이즈,1972.2,55.9,79.7,0.4251
아비코전자,781.6,8.3,11.8,0.4217
삼양엔씨켐,2852.0,25.3,35.9,0.419
다원넥스뷰,568.8,5.5,7.8,0.4182
한라캐스트,3073.5,12.0,17.0,0.4167
티엠씨,3211.8,12.0,17.0,0.4167
이오테크닉스,39976.9,138.2,195.6,0.4148
샘씨엔에스,8623.2,33.3,47.0,0.4128
HL D&I,938.9,108.3,153.0,0.4123
위츠,568.9,8.7,12.2,0.4104
GS건설,27086.5,413.5,582.4,0.4085
이수페타시스,60415.8,327.2,460.4,0.4069
바이오플러스,2246.8,36.1,50.7,0.4044
삼성전자,13504903.6,391129.6,549091.3,0.4039
한솔홀딩스,1294.4,32.0,44.9,0.4031
에이피알,143949.7,754.8,1057.6,0.4011
한국전력,228539.2,9789.1,13711.2,0.4007
희림,543.0,9.5,13.3,0.4
애니플러스,1390.1,32.2,45.0,0.3975
효성중공업,264071.2,1117.5,1558.5,0.3946
금호건설,3640.3,68.5,95.3,0.3902
오아,212.0,13.4,18.6,0.3881
오로라,2453.9,63.4,87.9,0.3856
인터플렉스,1614.3,21.8,30.2,0.3853
두산,192868.6,1812.5,2506.4,0.3829
한성크린텍,747.1,3.4,4.7,0.3824
CJ CGV,9206.4,110.8,152.8,0.3799
피에스케이홀딩스,20268.7,105.3,145.2,0.3789
토니모리,1347.1,20.7,28.5,0.3768
케이씨텍,11740.6,146.2,201.1,0.3755
이엔에프테크놀로지,6501.0,91.5,125.8,0.3751
오스테오닉,1047.5,12.4,17.1,0.3735
ISC,27768.1,102.3,140.2,0.3702
씨앤지하이테크,1252.1,21.3,29.1,0.3662
티에프이,3753.5,34.8,47.5,0.3649
에스티팜,20897.5,75.4,102.8,0.363
제우스,2717.1,47.0,64.0,0.3617
지오엘리먼트,841.4,6.1,8.3,0.3607
피엔케이피부임상연구센타,543.8,6.1,8.3,0.3607
텔레칩스,1413.0,16.9,23.0,0.3583
퓨런티어,545.1,6.7,9.1,0.3582
아로마티카,1076.6,9.5,12.9,0.3579
HPSP,28311.2,128.3,174.2,0.3577
HD현대마린엔진,18724.7,151.7,205.6,0.356
한전기술,38946.2,73.3,99.3,0.3547
케이엔에스,712.3,6.5,8.8,0.3538
한미글로벌,1943.9,31.6,42.7,0.3534
달바글로벌,30735.0,161.6,218.5,0.3524
넥슨게임즈,6006.4,54.0,73.0,0.3519
IPARK현대산업개발,14928.0,521.4,704.2,0.3507
세나테크놀로지,2389.3,40.3,54.4,0.3499
켐트로닉스,3546.9,46.7,63.0,0.348
산일전기,48201.2,249.7,336.5,0.3476
디오,1686.4,26.4,35.6,0.3468
세아베스틸지주,14918.6,165.6,223.1,0.3468
씨젠,15093.3,79.0,106.3,0.3462
성광벤드,7077.5,47.1,63.3,0.3449
제테마,1622.0,13.1,17.6,0.3435
고영,20188.4,56.7,75.9,0.3401
코윈테크,1114.4,16.2,21.7,0.3395
와이씨,7548.2,54.4,72.7,0.3372
SK바이오팜,66879.5,352.6,471.4,0.3371
솔브레인,22946.8,193.3,258.5,0.3368
테스,24122.6,101.6,135.7,0.3356
클래시스,29943.2,210.7,281.4,0.3355
티씨케이,18703.2,122.6,163.5,0.3342
보원케미칼,260.2,6.0,8.0,0.3333
후성,10661.2,52.7,70.2,0.3321
엠앤씨솔루션,4393.9,63.6,84.7,0.3318
사이냅소프트,427.1,7.3,9.7,0.3288
칩스앤미디어,2144.1,7.0,9.3,0.3286
제너셈,643.9,10.1,13.4,0.3267
지아이에스,758.0,13.2,17.5,0.3258
에프엔에스테크,1026.7,18.7,24.7,0.3244
코미코,11176.6,128.9,170.7,0.3239
하나머티리얼즈,10600.8,95.1,125.9,0.3239
비에이치,4844.3,99.0,131.0,0.3233
알루코,1710.0,55.9,73.9,0.322
타이거일렉,4571.5,22.4,29.6,0.3214
다날,3434.3,9.1,12.0,0.32
원익QnC,7281.8,111.3,146.9,0.3195
아진산업,1030.3,72.0,95.0,0.3194
노머스,1187.3,19.2,25.3,0.3177
한국토지신탁,2860.7,37.3,49.1,0.3164
가온그룹,801.5,19.0,25.0,0.3158
에스엔시스,2170.4,21.0,27.6,0.3143
티에스이,22897.2,166.8,219.1,0.3135
파크시스템스,17541.2,54.3,71.4,0.3133
PS일렉트로닉스,3713.6,30.8,40.4,0.3117
애경산업,3166.6,18.3,24.0,0.3115
호전실업,608.3,25.5,33.4,0.3098
에스피지,22554.4,23.2,30.4,0.3089
저스템,2275.5,29.3,38.3,0.3063
시노펙스,3548.3,8.5,11.1,0.3059
나노,920.6,8.8,11.4,0.3029
현대건설,122380.0,867.0,1129.6,0.3028
라온시큐어,890.7,6.3,8.2,0.3016
삼화콘덴서,8024.9,20.0,26.0,0.3
그리드위즈,1096.9,5.7,7.4,0.2982
솔루엠,7162.9,90.2,117.1,0.2975
카페24,4279.5,40.5,52.5,0.2963
GS글로벌,2393.5,48.7,63.0,0.2936
컴투스,4068.7,31.8,41.1,0.2933
하나투어,4879.3,52.5,67.9,0.292
네오위즈,4171.5,36.6,47.3,0.2916
삼성에스디에스,171391.8,830.4,1072.5,0.2915
휴젤,34229.0,217.4,280.6,0.2906
DB하이텍,36587.4,366.8,473.4,0.2906
녹십자,15180.8,73.0,94.2,0.2903
바이오에프디엔씨,715.7,6.9,8.9,0.2899
카카오페이,56813.5,161.8,208.6,0.2893
큐브엔터,905.0,18.4,23.7,0.288
한일시멘트,10906.8,115.0,148.0,0.287
유진테크,25482.6,102.7,131.9,0.2839
원익머트리얼즈,4141.7,71.9,92.2,0.2823
듀켐바이오,1886.0,8.2,10.5,0.2805
아톤,1042.9,14.7,18.8,0.2789
동방메디컬,1297.9,23.4,29.9,0.2778
HD현대마린솔루션,88052.9,420.4,535.8,0.2745
화신,2811.1,99.7,127.0,0.2738
쏘카,4002.7,30.0,38.2,0.2733
네패스,3622.6,41.0,52.2,0.2716
메타바이오메드,1076.0,22.1,28.1,0.2715
한솔케미칼,24016.7,187.9,238.9,0.2711
일동제약,4847.0,38.9,49.4,0.2699
진성티이씨,3170.5,51.0,64.7,0.2686
누보,383.9,8.2,10.4,0.2683
비에이치아이,15441.2,120.1,152.2,0.2671
피앤에스로보틱스,694.3,1.5,1.9,0.2667
쏠리드,5972.4,40.8,51.6,0.2663
대한유화,6090.5,175.9,222.7,0.2659
대주전자재료,13851.0,39.6,50.1,0.2652
지앤비에스 에코,1441.9,27.0,34.2,0.2651
LG,163438.6,1638.8,2071.2,0.2638
HD현대일렉트릭,274679.2,1231.3,1555.5,0.2633
메쎄이상,1361.8,22.9,28.9,0.262
조이시티,813.7,22.2,28.0,0.2613
SK스퀘어,1239089.2,43413.0,54749.9,0.2611
실리콘투,25771.5,276.7,348.9,0.261
GST,8957.0,78.7,99.2,0.2605
한컴라이프케어,507.3,5.4,6.8,0.2593
피에스케이,34296.6,179.2,225.6,0.2592
KH바텍,2509.8,31.9,40.1,0.2582
삼성에피스홀딩스,102393.7,246.8,310.0,0.2559
현대오토에버,112986.8,281.4,352.5,0.2529
SK이터닉스,17203.8,66.3,83.1,0.2528
동성화인텍,5098.2,99.0,124.0,0.2525
LG헬로비전,1298.8,33.7,42.1,0.2493
현대로템,160330.0,1090.9,1362.8,0.2493
파마리서치,39324.8,270.4,337.8,0.249
웹젠,3793.4,41.7,52.0,0.247
감성코퍼레이션,4030.4,57.0,71.1,0.2461
롯데이노베이트,2918.5,44.9,55.9,0.2457
신세계인터내셔날,3981.4,56.2,70.0,0.245
에이블씨엔씨,3103.5,36.4,45.3,0.2445
엔에프씨,1134.3,17.9,22.2,0.2437
호텔신라,16758.9,197.6,245.8,0.2436
에프앤가이드,1908.9,29.3,36.4,0.2423
한화에어로스페이스,565650.5,4597.2,5704.9,0.2409
알트,418.7,14.2,17.6,0.2394
동국홀딩스,2925.1,38.0,47.0,0.2368
스튜디오드래곤,7574.7,48.1,59.5,0.2355
POSCO홀딩스,262289.5,3097.6,3826.5,0.2353
NHN,13690.8,178.1,219.9,0.2349
한라IMS,2978.8,28.3,34.9,0.2332
레뷰코퍼레이션,634.5,10.8,13.3,0.2315
에스원,29107.4,205.4,252.9,0.2311
코스맥스엔비티,1780.2,34.8,42.8,0.2308
엠씨넥스,3290.6,42.6,52.4,0.2308
인터로조,1605.9,29.9,36.8,0.2305
덴티움,3570.3,86.2,106.0,0.2297
이노에이엑스,222.9,3.5,4.3,0.2286
현대백화점,21953.1,419.8,515.3,0.2275
브이티,4745.1,71.0,87.0,0.2254
세아홀딩스,5290.1,205.0,251.0,0.2244
코오롱,3323.7,311.1,380.5,0.2231
리노공업,50071.2,218.3,266.7,0.2219
스카이라이프,2010.2,34.8,42.5,0.2216
티이엠씨,2010.3,30.3,37.0,0.2211
HD건설기계,66180.1,760.2,927.1,0.2196
파이오링크,540.6,11.5,14.0,0.2174
현대위아,16996.9,219.5,267.0,0.2164
동국생명과학,785.2,16.2,19.7,0.216
씨에스베어링,1051.3,18.1,22.0,0.2155
삼성E&A,94276.0,982.1,1191.6,0.2133
코오롱글로벌,2275.4,119.6,145.0,0.2124
SNT다이내믹스,10640.9,112.1,135.7,0.2105
퓨릿,1292.6,21.5,26.0,0.2093
삼양식품,98381.2,733.8,885.4,0.2066
성신양회,1953.9,39.0,47.0,0.2051
케이아이엔엑스,6519.7,30.3,36.5,0.2046
넥센타이어,6397.2,177.7,214.0,0.2044
롯데관광개발,10388.2,198.6,239.2,0.2043
아이티센엔텍,663.0,33.8,40.7,0.2041
하나마이크론,19947.3,322.2,387.8,0.2036
동국제강,4861.6,123.5,148.5,0.2028
모트렉스,1223.2,51.0,61.3,0.202
티앤엘,2690.4,68.6,82.5,0.2015
파라다이스,9355.6,175.8,211.0,0.2007
HDC,13531.5,686.0,823.7,0.2007
서울보증보험,31000.8,446.0,535.0,0.1996
동부건설,1597.1,70.3,84.3,0.1991
카카오뱅크,104966.5,738.0,884.8,0.1989
코나아이,6029.2,118.3,141.8,0.1982
녹십자웰빙,1582.6,25.9,31.0,0.1969
계룡건설,1780.8,178.0,213.0,0.1966
젝시믹스,882.9,23.0,27.5,0.1957
코스맥스,23323.2,232.4,277.3,0.1932
헥토이노베이션,1878.8,65.2,77.8,0.1925
이마트,22518.2,520.1,620.1,0.1923
동원개발,2025.0,21.0,25.0,0.1905
현대무벡스,25950.6,21.0,25.0,0.1905
바텍,2844.6,53.9,64.0,0.1894
명신산업,3678.2,116.5,138.5,0.1888
슈프리마,4372.9,36.8,43.7,0.1884
디어유,4667.0,39.0,46.3,0.1884
대성하이텍,991.2,8.0,9.5,0.1875
KG스틸,5860.5,135.3,160.5,0.1862
교촌에프앤비,1888.7,37.6,44.6,0.1862
SAMG엔터,2883.6,35.0,41.5,0.1857
LG생활건강,49943.4,378.1,448.1,0.1851
덕산네오룩스,8318.4,88.9,105.3,0.1851
뉴파워프라즈마,4622.7,69.2,82.0,0.1851
삼양컴텍,2592.1,32.5,38.5,0.1846
메디톡스,5824.2,33.4,39.5,0.1841
인바디,9544.5,52.4,62.0,0.1837
KG이니시스,2774.7,103.8,122.8,0.1827
한샘,9613.6,37.8,44.7,0.1825
HD한국조선해양,282030.9,6049.3,7151.8,0.1823
셀트리온,463479.5,1851.7,2187.7,0.1814
풀무원,3518.5,115.1,135.9,0.181
세아제강,3743.9,98.7,116.5,0.1803
HS효성첨단소재,8207.3,236.4,278.7,0.1792
빙그레,6488.3,106.0,125.0,0.1792
롯데지주,23620.3,379.7,447.2,0.1779
전진건설로봇,4800.9,29.9,35.1,0.1776
NC,53536.9,498.7,586.1,0.1753
환인제약,1934.4,24.6,28.9,0.1748
한세실업,3668.0,89.9,105.6,0.1743
미투온,700.3,14.5,17.0,0.1724
디아이,6593.9,98.2,115.1,0.1721
서부T&D,7154.0,84.7,99.0,0.1692
한온시스템,37202.0,428.2,500.3,0.1685
코스메카코리아,10242.1,106.2,124.0,0.1685
한화,59085.6,5884.9,6874.4,0.1681
노바렉스,2970.1,53.9,63.0,0.1679
NAVER,329582.9,2380.2,2778.7,0.1674
SK,368313.7,9867.8,11519.2,0.1673
삼성바이오로직스,720287.2,2416.2,2819.8,0.167
폰드그룹,3028.3,77.9,90.8,0.1656
한국콜마,25186.6,315.2,367.3,0.1653
HD현대중공업,531103.8,4023.9,4685.9,0.1645
LS에코에너지,13919.0,83.9,97.7,0.1641
파트론,2820.0,38.4,44.7,0.1639
일진전기,27800.6,220.2,256.1,0.1632
글로벌텍스프리,3696.9,35.0,40.7,0.1629
레이언스,1081.7,12.3,14.3,0.1626
KT밀리의서재,902.0,18.1,21.0,0.1602
헥토파이낸셜,2430.9,27.6,31.9,0.1597
펌텍코리아,6138.0,65.9,76.5,0.1596
비츠로셀,13993.2,92.7,107.4,0.1585
동국제약,8729.5,111.6,129.2,0.1584
원텍,4624.7,57.0,66.0,0.1579
GS피앤엘,8725.6,132.1,152.9,0.1578
AJ네트웍스,2004.7,82.8,95.8,0.1577
대웅,10430.7,311.0,359.9,0.1572
현대차,809817.0,11558.9,13370.9,0.1568
한컴,4468.4,50.4,58.3,0.1566
넷마블,33511.2,340.9,393.3,0.1539
대원미디어,613.9,13.0,15.0,0.1538
동국씨엠,1575.7,39.0,45.0,0.1538
종근당홀딩스,2003.9,47.7,55.0,0.153
LG이노텍,130642.4,1265.1,1458.0,0.1525
삼성물산,545693.9,3796.4,4374.0,0.1521
아모레퍼시픽,82942.7,482.5,555.6,0.1517
삼익제약,508.4,3.3,3.8,0.1515
카카오,176749.4,957.2,1101.9,0.1512
씨에스윈드,18492.2,303.2,348.8,0.1505
하이록코리아,3912.9,65.8,75.8,0.1503
NICE인프라,1106.4,38.0,43.7,0.15
토비스,1201.4,78.0,89.5,0.1474
STX엔진,10860.1,103.8,119.2,0.1473
KT나스미디어,1333.8,21.1,24.2,0.1472
아이마켓코리아,2671.0,68.0,78.0,0.1471
에스엠,17308.4,192.2,220.5,0.147
HL만도,23854.2,410.9,471.1,0.1465
포스코스틸리온,2733.0,27.5,31.5,0.1455
LS,98904.0,1735.4,1985.7,0.1442
NHN KCP,5232.9,62.2,71.1,0.1439
코웨이,67724.4,1023.7,1170.2,0.1431
CJ프레시웨이,2783.9,102.7,117.4,0.1426
티쓰리,1911.3,20.5,23.4,0.1415
OCI,6929.2,164.8,188.1,0.1412
청담글로벌,1047.0,27.2,31.0,0.1397
이녹스첨단소재,4166.9,76.1,86.7,0.1393
프로텍,5391.0,73.4,83.6,0.139
세진중공업,6173.9,79.9,91.0,0.1389
유니드,4182.4,98.8,112.5,0.1388
코리아에프티,1612.0,60.6,69.0,0.1386
롯데웰푸드,10760.1,191.6,218.2,0.1385
금호석유화학,32603.9,400.6,456.0,0.1383
GKL,5876.3,70.6,80.3,0.1377
한화손해보험,6875.9,495.6,563.9,0.1376
LG씨엔에스,70339.2,582.7,662.3,0.1367
SK네트웍스,15686.4,119.7,136.1,0.1364
웹케시,895.2,14.8,16.8,0.1351
휴온스,3186.6,49.0,55.6,0.1347
CJ대한통운,18021.8,481.6,546.4,0.1345
HK이노엔,11785.2,130.4,147.9,0.1341
경동나비엔,10635.1,237.7,269.3,0.1332
HDC랩스,1962.4,35.3,40.0,0.1331
씨앤씨인터내셔널,2821.4,21.1,23.9,0.1327
HD현대에너지솔루션,14313.6,147.1,166.5,0.1319
KCC,37980.6,444.7,503.2,0.1315
AP시스템,2959.0,65.5,74.1,0.1313
SNT모티브,7258.8,108.2,122.3,0.1308
지니언스,1352.9,11.6,13.1,0.1293
롯데칠성,9520.1,201.9,227.7,0.1281
JYP Ent.,16629.2,167.7,188.9,0.1264
현대모비스,450487.3,3783.0,4260.6,0.1262
CJ제일제당,30785.8,1282.4,1443.5,0.1256
KG파이낸셜,1592.7,35.2,39.6,0.125
