종목명,시가총액(억원),2026_영업이익(십억원),2027_영업이익(십억원),영업이익_증가율
미래에셋비전스팩10호,129.2,,,
교보19호스팩,107.7,,,
미래에셋비전스팩11호,138.6,,,
IBKS제25호스팩,130.4,,,
대한광통신,17818.7,-2.3,14.7,
하나36호스팩,153.6,,,
흥국,645.0,,,
오리콤,571.2,,,
유진스팩12호,112.4,,,
경동제약,1550.7,,,
형지I&C,64.4,,,
유니크,726.5,,,
서한,770.8,,,
삼성스팩13호,146.2,,,
삼미금속,1526.0,8.0,,
뉴인텍,205.0,,,
원일특강,305.8,,,
리드코프,798.9,,,
신일제약,658.1,,,
모베이스전자,1695.4,,,
신한제18호스팩,110.8,,,
신한제17호스팩,104.8,,,
엔에이치스팩33호,152.6,,,
키움히어로제2호스팩,123.9,,,
교보20호스팩,119.2,,,
청보,285.3,,,
스페코,233.9,,,
아가방컴퍼니,1590.1,,,
메디앙스,223.5,,,
원익큐브,428.3,,,
부방,593.3,,,
고려제약,380.6,,,
삼륭물산,637.5,,,
코콤,480.3,,,
성우하이텍,4736.0,,,
리더스코스메틱,205.3,,,
큐캐피탈,316.2,,,
디모아,262.0,,,
현대사료,1873.4,,,
카스,272.9,,,
신원종합개발,271.9,,,
인터엠,212.8,,,
삼현철강,744.3,,,
세명전기,1119.1,,,
대림제지,857.4,,,
한국알콜,2912.9,,,
유니슨,2382.2,,,
진로발효,1103.7,,,
