code,name,sector,latest_mktcap,latest_period,latest_is_estimate,latest_yoy,prev_yoy,accel,n_quarters
A036620,감성코퍼레이션,"섬유,의류,신발,호화품",328449060320,202612,True,15.4,36.7,-21.3,12
A036800,나이스정보통신,상업서비스와공급품,339430000000,202712,True,7.9,16.6,-8.7,16
A036810,에프에스티,반도체와반도체장비,653823627800,202606,False,456.2,-48.4,504.6,12
A036890,진성티이씨,기계,265052454690,202612,True,9.8,-7.5,17.3,12
A036930,주성엔지니어링,반도체와반도체장비,9458908123500,202712,True,55.7,155.4,-99.7,16
A037030,파워넷,전기제품,94398070400,202612,True,179.6,39.1,140.5,12
A037440,희림,건설,58474395000,202712,True,31.0,-4.0,35.0,16
A037560,LG헬로비전,방송과엔터테인먼트,121359237455,202609,True,67.1,-71.7,138.8,12
A038290,마크로젠,생명과학도구및서비스,128253762000,202612,True,4.4,169.3,-164.9,12
A039030,이오테크닉스,반도체와반도체장비,5833306925000,202612,True,110.5,34.0,76.5,12
A039130,하나투어,"호텔,레스토랑,레저",471668429400,202612,True,-35.8,2.6,-38.4,12
A039440,에스티아이,반도체와반도체장비,322546577600,202612,True,478.6,1248.4,-769.8,12
A039490,키움증권,증권,6871818792000,202712,True,37.7,5.2,32.5,16
A039570,HDC랩스,건설,194422431490,202612,True,395.3,351.1,44.2,12
A039830,오로라,레저용장비와제품,169838404200,202612,True,75.4,-5.7,81.1,12
A039840,디오,건강관리장비와용품,129865215040,202712,True,58.2,77.1,-18.9,16
A040420,정상제이엘에스,교육서비스,91243352640,202612,True,0.7,5.3,-4.6,12
A041510,에스엠,방송과엔터테인먼트,1868206704000,202712,True,5.6,40.9,-35.3,16
A041830,인바디,건강관리장비와용품,730663804400,202612,True,35.1,49.5,-14.4,12
A041920,메디아나,건강관리장비와용품,159572753340,202612,True,278.9,172.2,106.7,12
A042000,카페24,IT서비스,362672535000,202612,True,2.4,3.5,-1.1,12
A042510,라온시큐어,소프트웨어,118943417880,202612,True,6.0,-62.4,68.4,12
A042520,한스바이오메드,건강관리장비와용품,247006876440,202709,True,132.7,122.2,10.5,15
A042660,한화오션,조선,25003332950400,202712,True,1.9,-1.5,3.4,16
A042700,한미반도체,반도체와반도체장비,22874928000000,202612,True,347.4,90.4,257.0,12
A043150,바텍,건강관리장비와용품,261434905600,202612,True,4.1,6.4,-2.3,12
A043260,성호전자,전기제품,2033427303600,202612,True,462.4,2493.9,-2031.5,12
A043370,피에이치에이,자동차부품,236250000000,202612,True,12.6,8.1,4.5,12
A044490,태웅,에너지장비및서비스,796293763800,202609,True,1256.8,-32.7,1289.5,12
A046890,서울반도체,디스플레이장비및부품,608708376000,202612,True,472.9,,,12
A047040,대우건설,건설,7725063594400,202712,True,-21.8,1.8,-23.6,16
A047050,포스코인터내셔널,무역회사와판매업체,9974822079600,202706,True,-0.1,5.9,-6.0,14
A047810,한국항공우주,우주항공과국방,12701006442100,202712,True,26.0,92.7,-66.7,16
A048910,대원미디어,방송과엔터테인먼트,83775780360,202612,True,37.4,22.0,15.4,12
A049070,인탑스,핸드셋,285407899000,202603,False,2395.5,-76.0,2471.5,12
A049720,고려신용정보,상업서비스와공급품,130559000000,202612,True,0.0,5.9,-5.9,12
A050890,쏠리드,통신장비,577187073000,202712,True,-26.0,32.0,-58.0,16
A051370,인터플렉스,전자장비와기기,166324875360,202612,True,-27.8,,,12
A051500,CJ프레시웨이,식품과기본식료품소매,260581312700,202703,True,31.4,0.5,30.9,13
A051600,한전KPS,전기유틸리티,2108250000000,202712,True,15.1,-6.1,21.2,16
A051900,LG생활건강,화장품,4440242569500,202712,True,91.0,39.7,51.3,16
A051910,LG화학,화학,17930455122000,202712,True,102.1,583.7,-481.6,16
A052400,코나아이,IT서비스,549036070700,202612,True,20.4,23.9,-3.5,12
A052690,한전기술,전기유틸리티,5278182000000,202712,True,30.8,69.2,-38.4,16
A052710,아모텍,핸드셋,361473480000,202609,True,463.9,,,12
