code,name,sector,latest_date,latest_mult,hist_min_mult,hist_min_date,hist_max_mult,hist_max_date,percentile,n_obs,latest_mktcap
A348340,뉴로메카,기계,2026-09-11,-27.39,38.72,2024-08-05,343.33,2024-06-11,0.0,240,445228224480
A290690,아리바이오홀딩스,디스플레이장비및부품,2026-09-11,-27.26,12.71,2021-03-02,1093.86,2024-03-21,0.0,531,215740952325
A036630,세종텔레콤,다각화된통신서비스,2026-09-11,-27.23,34.49,2022-10-12,1572.09,2016-10-11,0.0,916,126840000000
A115440,우리넷,통신장비,2026-09-11,-26.97,1.75,2024-08-05,1208.59,2017-07-03,0.0,2078,89592623600
A301300,바이브컴퍼니,소프트웨어,2026-09-11,-26.64,33.86,2021-03-31,72.82,2021-04-27,0.0,93,31045120320
A054300,팬스타엔터프라이즈,해운사,2026-09-11,-26.62,10.82,2018-03-28,4816.28,2014-12-30,0.0,1773,65849509740
A304100,솔트룩스,IT서비스,2026-09-11,-26.62,28.76,2020-10-26,663.95,2024-03-28,0.0,480,192182227300
A006890,태경케미컬,화학,2026-09-11,-26.42,5.36,2023-09-26,307.02,2026-04-02,0.0,2821,58696000000
A221800,지구홀딩스,건강관리업체및서비스,2026-09-11,-26.23,20.36,2023-11-17,69.98,2024-08-09,0.0,106,61848445290
A095720,웅진씽크빅,교육서비스,2026-09-11,-25.87,2.24,2019-01-08,137.86,2025-05-22,0.0,2731,74329827180
A065170,비엘팜텍,건강관리업체및서비스,2026-09-11,-25.85,18.65,2017-10-10,9689.21,2016-06-08,0.0,981,75925516960
A215090,솔디펜스,우주항공과국방,2026-09-11,-25.72,4.7,2017-08-22,986.1,2019-05-20,0.0,1221,33807265060
A090710,휴림로봇,기계,2026-09-11,-25.63,9.17,2017-04-04,79.0,2016-12-21,0.0,610,741265979800
A002710,TCC스틸,철강,2026-09-11,-25.41,1.2,2015-11-10,191.52,2024-02-21,0.0,2689,309321624600
A005030,부산주공,자동차부품,2026-09-11,-25.38,3.83,2015-01-06,180.14,2026-04-01,0.0,1101,45092532168
A348030,모비릭스,게임엔터테인먼트,2026-09-11,-25.18,6.03,2021-10-05,62.46,2023-12-11,0.0,721,27899039000
A389020,자람테크놀로지,통신장비,2026-09-11,-25.15,13.41,2023-07-03,1342.15,2023-03-24,0.0,465,150530787600
A362990,드림인사이트,광고,2026-09-11,-25.06,5.86,2024-04-19,66.94,2025-04-10,0.0,392,20345495114
A053950,경남제약,제약,2026-09-11,-24.98,3.07,2017-02-03,359085.27,2020-10-12,0.0,1200,43261326045
A175250,아이큐어,화장품,2026-09-11,-24.57,5.92,2019-08-06,1029.82,2020-06-24,0.0,442,113162669061
A430690,한싹,소프트웨어,2026-09-11,-24.55,16.32,2023-11-13,617.71,2024-09-03,0.0,243,30833710320
A058820,CMG제약,제약,2026-09-11,-24.49,64.56,2023-07-07,1411.87,2024-08-19,0.0,2125,88874133600
A141080,리가켐바이오,제약,2026-09-11,-24.49,8.73,2016-07-04,7545.66,2016-06-30,0.0,881,3154054413600
A131400,이브이첨단소재,전자장비와기기,2026-09-11,-24.25,6.68,2018-07-19,2069.86,2020-06-05,0.0,1095,45647381612
A078590,휴림에이텍,자동차부품,2026-09-11,-24.09,4.55,2024-12-09,944.34,2020-11-24,0.0,2575,29715284725
A215100,로보로보,교육서비스,2026-09-11,-23.83,12.2,2019-01-03,1037.05,2023-04-03,0.0,799,84446084100
A039980,폴라리스AI,IT서비스,2026-09-11,-23.81,5.77,2015-08-03,582.74,2024-05-20,0.0,1477,73344191400
A061970,LB세미콘,반도체와반도체장비,2026-09-11,-23.74,3.68,2022-09-30,84.56,2024-06-28,0.0,2257,278579948850
A018000,유니슨,에너지장비및서비스,2026-09-11,-23.53,7.59,2017-02-07,552.31,2023-12-15,0.0,1123,320480380740
A340360,다보링크,통신장비,2026-09-11,-23.52,17.92,2021-10-06,128.36,2021-12-14,0.0,125,47706724800
A452160,제이엔비,반도체와반도체장비,2026-09-11,-23.44,10.25,2025-04-09,428.37,2026-01-05,0.0,545,28852581000
