종목명,기준일,수주잔고(백만원),report_nm
디에이테크놀로지,20260515,1512.0,분기보고서 (2026.03)
한일단조,20260515,13463.0,분기보고서 (2026.03)
비트컴퓨터,20260515,14429.555,분기보고서 (2026.03)
이엔셀,20260515,7681.0,분기보고서 (2026.03)
이녹스,20260515,12398.0,분기보고서 (2026.03)
우신시스템,20260515,91583.669,분기보고서 (2026.03)
THE E&M,20260515,22196.0,분기보고서 (2026.03)
센서뷰,20260514,16496.947,분기보고서 (2026.03)
대창솔루션,20260513,70580.0,분기보고서 (2026.03)
아이티센엔텍,20260514,3392.612,분기보고서 (2026.03)
빛샘전자,20260515,1376.661,분기보고서 (2026.03)
제너셈,20260514,6732.0,분기보고서 (2026.03)
아고스,20260515,3240.0,분기보고서 (2026.03)
엠엑스로보틱스,20260515,182779.407,분기보고서 (2026.03)
페스카로,20260512,40403.165,분기보고서 (2026.03)
알체라,20260515,11583.0,분기보고서 (2026.03)
웨이브일렉트로,20260515,198992.0,분기보고서 (2026.03)
티에스아이,20260512,50880.0,분기보고서 (2026.03)
이글루,20260513,70855.0,분기보고서 (2026.03)
브이원텍,20260515,49900.0,분기보고서 (2026.03)
SGC E&C,20260514,2219.407,분기보고서 (2026.03)
유엔젤,20260515,17054.0,분기보고서 (2026.03)
화천기계,20260515,39739.0,분기보고서 (2026.03)
누리플렉스,20260515,99709.0,분기보고서 (2026.03)
에이비온,20260515,727.272,분기보고서 (2026.03)
DGI,20260515,13723.0,분기보고서 (2026.03)
디알젬,20260514,104006.0,분기보고서 (2026.03)
이건홀딩스,20260515,497373.0,분기보고서 (2026.03)
토탈소프트,20260514,392.906,분기보고서 (2026.03)
퓨런티어,20260513,7866.0,분기보고서 (2026.03)
오가노이드사이언스,20260515,156.185,분기보고서 (2026.03)
피엔케이피부임상연구센타,20260515,6020.0,분기보고서 (2026.03)
남화토건,20260515,93398.0,분기보고서 (2026.03)
에스피시스템스,20260515,20718.497,분기보고서 (2026.03)
대동기어,20260515,0.0,분기보고서 (2026.03)
푸른로보틱스,20260515,9820.318,분기보고서 (2026.03)
러셀,20260515,18267.0,분기보고서 (2026.03)
레몬,20260515,2107.0,분기보고서 (2026.03)
덕성,20260515,2977.0,분기보고서 (2026.03)
쎄크,20260515,53931.0,분기보고서 (2026.03)
포니링크,20260515,2494.161,분기보고서 (2026.03)
HLB파나진,20260515,381.0,분기보고서 (2026.03)
셀리드,20260515,4392.0,분기보고서 (2026.03)
현우산업,20260512,32853.0,분기보고서 (2026.03)
코콤,20260515,138767.0,분기보고서 (2026.03)
에너토크,20260514,18774.0,분기보고서 (2026.03)
아이빔테크놀로지,20260514,1772.405,분기보고서 (2026.03)
TPC로보틱스,20260515,124.0,분기보고서 (2026.03)
유성기업,20260515,322931.472,분기보고서 (2026.03)
비아이매트릭스,20260515,13447.0,분기보고서 (2026.03)
씨유테크,20260513,284171.0,분기보고서 (2026.03)
영우디에스피,20260428,36292.0,분기보고서 (2026.03)
나노실리칸첨단소재,20260515,1160.381,분기보고서 (2026.03)
시선AI,20260514,11207.0,분기보고서 (2026.03)
하츠,20260515,124604.0,분기보고서 (2026.03)
부산주공,20260515,142877.0,분기보고서 (2026.03)
탑엔지니어링,20260514,31847.0,분기보고서 (2026.03)
프로이천,20260515,5221.0,분기보고서 (2026.03)
씨케이솔루션,20260515,211974.0,분기보고서 (2026.03)
쏘닉스,20260515,4401.0,분기보고서 (2026.03)
SDN,20260514,6.0,분기보고서 (2026.03)
오비고,20260515,6042.0,분기보고서 (2026.03)
디케이앤디,20260513,5130.0,분기보고서 (2026.03)
이루온,20260515,9704.0,분기보고서 (2026.03)
영림원소프트랩,20260515,13501.423,분기보고서 (2026.03)
엑시큐어하이트론,20260515,4769.785,분기보고서 (2026.03)
파라텍,20260515,16891.0,분기보고서 (2026.03)
HLB펩,20260515,565.0,분기보고서 (2026.03)
서전기전,20260515,65504.0,분기보고서 (2026.03)
제이티,20260515,23479.0,분기보고서 (2026.03)
iMBC,20260515,3757.0,분기보고서 (2026.03)
콜마바이오텍,20260515,11881.0,분기보고서 (2026.03)
디에이피,20260515,27402.0,분기보고서 (2026.03)
케일럼,20260515,1610.0,분기보고서 (2026.03)
덕신이피씨,20260515,106291.17,분기보고서 (2026.03)
비트플래닛,20260515,10197.249,분기보고서 (2026.03)
신테카바이오,20260515,698.0,분기보고서 (2026.03)
토마토시스템,20260513,23638.058,분기보고서 (2026.03)
폴라리스AI핸디,20260515,22246.253,분기보고서 (2026.03)
HLB바이오스텝,20260515,58169.0,분기보고서 (2026.03)
자연과환경,20260515,115637.912,분기보고서 (2026.03)
하이즈항공,20260514,1157968.0,분기보고서 (2026.03)
바이오톡스텍,20260515,76201.0,분기보고서 (2026.03)
오공,20260515,65688.788,분기보고서 (2026.03)
경인전자,20260514,9840.818,분기보고서 (2026.03)
유틸렉스,20260514,3939.263,분기보고서 (2026.03)
모헨즈,20260515,23744.723,분기보고서 (2026.03)
민테크,20260515,2901.0,분기보고서 (2026.03)
에이치와이티씨,20260515,5908.0,분기보고서 (2026.03)
와이랩,20260515,5600.0,분기보고서 (2026.03)
기산텔레콤,20260515,2.359,분기보고서 (2026.03)
에코글로우,20260515,3000.0,분기보고서 (2026.03)
에이아이코리아,20260515,125035.953,분기보고서 (2026.03)
브리지텍,20260514,16110814.0,분기보고서 (2026.03)
지에프씨생명과학,20260513,11.0,분기보고서 (2026.03)
대신정보통신,20260618,78921.0,사업보고서 (2026.03)
우진아이엔에스,20260515,137.588,분기보고서 (2026.03)
크라우드웍스,20260515,3212.0,분기보고서 (2026.03)
케이씨티,20260515,6387.0,분기보고서 (2026.03)
솔디펜스,20260515,37686.787,분기보고서 (2026.03)
닷밀,20260515,6669.0,분기보고서 (2026.03)
엣지파운드리,20260515,56897.04,분기보고서 (2026.03)
아이퀘스트,20260507,14959.0,분기보고서 (2026.03)
멤레이비티,20260515,9243.486,분기보고서 (2026.03)
원일특강,20260515,9893.542,분기보고서 (2026.03)
유라클,20260515,24822.0,분기보고서 (2026.03)
대림통상,20260515,59095.0,분기보고서 (2026.03)
M83,20260515,11390.0,분기보고서 (2026.03)
심플랫폼,20260515,76.439,분기보고서 (2026.03)
팸텍,20260515,16594.0,분기보고서 (2026.03)
웰크론,20260515,179761.0,분기보고서 (2026.03)
