종목명,연도,분기,매출액,영업이익,영업이익률
오이솔루션,2025,Q3,13068761268.0,-2920261904.0,-0.22345361156382246
오이솔루션,2025,Q4,14364199764.0,-3383092743.0,-0.23552253509303117
오이솔루션,2026,Q1,18025953271.0,-611310207.0,-0.033912781077906747
LG에너지솔루션,2023,Q1,8747117000000.0,633166000000.0,0.07238567861845223
LG에너지솔루션,2023,Q2,8773487000000.0,460599000000.0,0.0524989664884669
LG에너지솔루션,2023,Q3,8223542000000.0,731249000000.0,0.08892141610026434
LG에너지솔루션,2023,Q4,8001324000000.0,338220000000.0,0.042270504231549676
LG에너지솔루션,2024,Q1,6128714000000.0,157337000000.0,0.0256721067421322
LG에너지솔루션,2024,Q2,6161866000000.0,195319000000.0,0.03169802783767125
LG에너지솔루션,2024,Q3,6877843000000.0,448259000000.0,0.06517435771651083
LG에너지솔루션,2024,Q4,6451162000000.0,-225528000000.0,-0.03495928330431014
LG에너지솔루션,2025,Q1,6264995000000.0,374673000000.0,0.059804197768713305
LG에너지솔루션,2025,Q2,5565408000000.0,492159000000.0,0.08843179152364032
LG에너지솔루션,2025,Q3,5699873000000.0,601309000000.0,0.10549515752368517
LG에너지솔루션,2025,Q4,6141483000000.0,-122021000000.0,-0.019868328219747575
LG에너지솔루션,2026,Q1,,-207755000000.0,
삼성SDI,2023,Q1,5354844754963.0,375384853209.0,0.07010191151873903
삼성SDI,2023,Q2,5840582434068.0,450192670421.0,0.07708009868930797
삼성SDI,2023,Q3,5948108273682.0,496003670489.0,0.08338847372426253
삼성SDI,2023,Q4,5564765035920.0,311787770649.0,0.05602891921517642
삼성SDI,2024,Q1,5130893462037.0,267381306037.0,0.05211203623995104
삼성SDI,2024,Q2,4450134429064.0,280220396631.0,0.06296897343164956
삼성SDI,2024,Q3,3935667456781.0,,
삼성SDI,2024,Q4,3754458206112.0,,
삼성SDI,2025,Q1,3176817731170.0,,
삼성SDI,2025,Q2,3179406065745.0,,
삼성SDI,2025,Q3,3051820635180.0,,
삼성SDI,2025,Q4,3858686247404.0,,
삼성SDI,2026,Q1,3576353183422.0,,
아스테라시스,2025,Q1,6689717080.0,591067033.0,0.08835456356847904
아스테라시스,2025,Q2,10336793548.0,3837319824.0,0.37122922172925266
아스테라시스,2025,Q3,8751547472.0,2302735273.0,0.26312321110837256
아스테라시스,2025,Q4,12165656191.0,3660909930.0,0.30092169896337323
아스테라시스,2026,Q1,7470531135.0,-1782525447.0,-0.2386075922565578
오스코텍,2023,Q1,1148722209.0,-7521721366.0,-6.547902797620586
오스코텍,2023,Q2,1800280043.0,-6912716258.0,-3.8398005270783306
오스코텍,2023,Q3,1696153356.0,-8052886153.0,-4.747734704832904
오스코텍,2023,Q4,305774391.0,-10167965818.0,-33.2531634998825
오스코텍,2024,Q1,1062018078.0,-7974514260.0,-7.5088309937413324
오스코텍,2024,Q2,1553791134.0,-7369059333.0,-4.742631858137504
오스코텍,2024,Q3,29055783063.0,19645621189.0,0.6761346320078009
오스코텍,2024,Q4,2336010405.0,-7035905481.0,-3.011932423734217
오스코텍,2025,Q1,1936460346.0,-8322577567.0,-4.297830102326299
오스코텍,2025,Q2,10016722927.0,-631853058.0,-0.06307981788104021
오스코텍,2025,Q3,8945473014.0,-373196525.0,-0.04171903759766906
오스코텍,2025,Q4,78940012935.0,61408959855.0,0.7779193031747379
오스코텍,2026,Q1,3648211618.0,-9990017387.0,-2.7383327594567186
HEM파마,2025,Q1,3508709190.0,-2363539224.0,-0.6736207237511183
HEM파마,2025,Q2,2844579286.0,-2903624064.0,-1.0207569457777455
HEM파마,2025,Q3,2956028138.0,-3559967802.0,-1.2043078197518835
HEM파마,2025,Q4,3670035876.0,-6756330545.0,-1.8409440052569122
HEM파마,2026,Q1,4941452227.0,-3844069455.0,-0.7779230231137475
비나텍,2023,Q1,12162505722.0,-518754184.0,-0.0426519169534003
비나텍,2023,Q2,14718563625.0,1118315596.0,0.07597994101139743
비나텍,2023,Q3,13505555478.0,1488895646.0,0.11024319943191899
비나텍,2023,Q4,14577469499.0,947749413.0,0.06501467302435547
비나텍,2024,Q1,13476838961.0,428643735.0,0.03180595510864471
비나텍,2024,Q2,18344878659.0,694586880.0,0.037862713235185974
비나텍,2024,Q3,14047871535.0,-2513984899.0,-0.17895842033694964
비나텍,2024,Q4,13722120796.0,-6677226079.0,-0.48660306801456027
비나텍,2025,Q1,15739378515.0,-2409395108.0,-0.1530807017382414
비나텍,2025,Q2,20689950380.0,957086327.0,0.046258512438249744
비나텍,2025,Q3,23010633345.0,2565680047.0,0.11149975789595112
비나텍,2025,Q4,22788943119.0,660346442.0,0.02897661548198101
비나텍,2026,Q1,25365991577.0,-1535812146.0,-0.06054611117164292
율촌화학,2023,Q1,118028599850.0,-632729508.0,-0.005360815165172867
율촌화학,2023,Q2,118257801697.0,-3205473474.0,-0.02710580974786814
율촌화학,2023,Q3,115737169714.0,-4364984334.0,-0.037714628280494364
율촌화학,2023,Q4,62467039114.0,-7997198788.0,-0.12802269647206124
율촌화학,2024,Q1,114280654690.0,-5612745687.0,-0.04911369909653779
율촌화학,2024,Q2,119549066213.0,1290137813.0,0.01079170129778653
율촌화학,2024,Q3,106801745937.0,-5594675948.0,-0.05238374989955854
율촌화학,2024,Q4,116446628465.0,,
율촌화학,2025,Q1,132830824561.0,10209238835.0,0.07685895851916212
율촌화학,2025,Q2,119651088853.0,1127464387.0,0.009422934616041576
율촌화학,2025,Q3,116793181057.0,-2316666157.0,-0.019835628553257482
율촌화학,2025,Q4,116107809464.0,-505830857.0,-0.00435656188274602
율촌화학,2026,Q1,127218321079.0,561378600.0,0.004412718193721447
스피어,2023,Q1,577337915.0,,
스피어,2023,Q2,338945663.0,,
스피어,2023,Q3,1483536378.0,,
스피어,2023,Q4,925524126.0,,
스피어,2024,Q1,2451080142.0,,
스피어,2024,Q2,2287911729.0,,
스피어,2024,Q3,1263837011.0,,
스피어,2024,Q4,-3445067271.0,,
스피어,2025,Q1,21852554171.0,4310963578.0,0.1972750436523789
스피어,2025,Q2,18861302763.0,2091670188.0,0.110897439815409
스피어,2025,Q3,21096473744.0,-989553534.0,-0.04690611075613699
스피어,2025,Q4,33828235731.0,3639194434.0,0.10757860572270588
스피어,2026,Q1,45069081671.0,710711909.0,0.015769389626975966
바이오다인,2026,Q1,867102584.0,-403469713.0,-0.4653079352373375
SBS,2023,Q1,217518633326.0,-1768843317.0,-0.008131916286679659
SBS,2023,Q2,271155220724.0,25521676913.0,0.09412201928052744
SBS,2023,Q3,238361630172.0,15482804698.0,0.06495510492535113
SBS,2023,Q4,269728129042.0,19087655854.0,0.07076627833290541
SBS,2024,Q1,209552723444.0,-12029130589.0,-0.05740383799981781
SBS,2024,Q2,275030342364.0,9570453927.0,0.03479781119689549
SBS,2024,Q3,331317637851.0,-25328874820.0,-0.07644891767395398
SBS,2024,Q4,230750732949.0,8602261656.0,0.03727945539354474
SBS,2025,Q1,206258696387.0,,
SBS,2025,Q2,268242292699.0,6990683915.0,0.026061080244510083
SBS,2025,Q3,239221703630.0,13062064217.0,0.05460233757553564
SBS,2025,Q4,294735262686.0,4982378414.0,0.01690458877771962
SBS,2026,Q1,190380655837.0,-17632011750.0,-0.09261451313150305
LS마린솔루션,2025,Q1,44480427390.0,3019344752.0,0.0678802999244293
LS마린솔루션,2025,Q2,66986959531.0,3416376038.0,0.05100061358090124
LS마린솔루션,2025,Q3,76972868236.0,2052839180.0,0.026669646422762414
LS마린솔루션,2025,Q4,55764819400.0,-1479258649.0,-0.0265267361199416
LS마린솔루션,2026,Q1,52794324941.0,4215203225.0,0.07984197600235776
E1,2023,Q1,2009651091039.0,70027383238.0,0.03484554286574964
E1,2023,Q2,1874768845108.0,99275559348.0,0.05295349323040464
E1,2023,Q3,1839483009732.0,-14436170829.0,-0.007847950077616237
E1,2023,Q4,2103834120650.0,-61691705898.0,-0.02932346485517582
E1,2024,Q1,2457155903962.0,116917948783.0,0.047582633480634094
E1,2024,Q2,2969725643413.0,92196737091.0,0.031045540282651017
E1,2024,Q3,2784739672366.0,7424857840.0,0.002666266406759528
E1,2024,Q4,2980790592272.0,1065989355.0,0.00035761967236601084
E1,2025,Q1,2765824636496.0,105229608624.0,0.03804637764645647
E1,2025,Q2,2265591351666.0,100663418104.0,0.0444314099407103
E1,2025,Q3,2417605057386.0,90884382805.0,0.037592733572152356
E1,2025,Q4,2943501559208.0,27285616805.0,0.0092697816719831
E1,2026,Q1,3585260140713.0,-156188703620.0,-0.04356412017258496
두산로보틱스,2023,Q3,12510811883.0,,
두산로보틱스,2023,Q4,16875979734.0,,
두산로보틱스,2024,Q1,10881801774.0,,
두산로보틱스,2024,Q2,14423531367.0,,
두산로보틱스,2024,Q3,10034333350.0,,
두산로보틱스,2024,Q4,11490277346.0,,
두산로보틱스,2025,Q1,5279512001.0,,
두산로보틱스,2025,Q2,4532272039.0,,
