종목명,상태,공시일,매출액_당기(억원),매출액_YoY(%),매출액_흑자적자전환_YoY,영업이익_당기(억원),영업이익_YoY(%),영업이익_흑자적자전환_YoY
골프존,ok,20260731.0,1012.08,-16.4,,66.24,-66.5,
지씨셀,ok,20260730.0,416.04,-3.1,,-10.09,70.1,
뷰웍스,ok,20260803.0,638.77,1.9,,106.96,63.8,
영진약품,ok,20260731.0,615.78,-1.5,,-14.97,,적자전환
코텍,ok,20260807.0,1296.14,37.3,,160.38,139.9,
CR홀딩스,code_not_found,,,,,,,
칩스앤미디어,ok,20260728.0,70.92,7.2,,11.27,-18.1,
그래피,ok,20260724.0,64.67,47.7,,-29.99,-18.9,
DS단석,ok,20260728.0,3100.77,39.8,,62.9,,흑자전환
스카이라이프,code_not_found,,,,,,,
HDC랩스,ok,20260727.0,1537.33,-9.2,,58.4,58.8,
KZ정밀,ok,20260806.0,342.7,6.7,,69.79,74.2,
대동,ok,20260810.0,4670.81,12.7,,412.33,64.3,
환인제약,ok,20260729.0,714.19,11.4,,78.94,192.3,
심텍홀딩스,ok,20260807.0,5582.07,51.6,,575.59,,흑자전환
에프앤가이드,ok,20260721.0,149.21,96.33,,78.63,281.14,
교촌에프앤비,ok,20260807.0,1322.73,4.9,,78.48,-15.7,
헥토이노베이션,ok,20260807.0,1028.29,12.0,,128.8,-4.0,
한솔제지,ok,20260730.0,5927.43,4.9,,508.04,162.8,
BGF에코머티리얼즈,ok,20260806.0,1026.53,-1.1,,12.02,-80.4,
신세계 I&C,code_not_found,,,,,,,
잉글우드랩,ok,20260810.0,519.27,-9.7,,87.39,-13.2,
현대비앤지스틸,ok,20260803.0,2027.87,7.6,,95.32,-2.8,
계룡건설,code_not_found,,,,,,,
코스맥스엔비티,ok,20260807.0,1022.64,35.2,,84.73,236.2,
지누스,ok,20260804.0,1475.42,-35.7,,-267.01,,적자전환
HS효성,ok,20260730.0,4309.21,24.9,,357.63,301.7,
레드캡투어,ok,20260806.0,982.27,3.6,,157.37,16.3,
SM C&C,ok,20260804.0,272.3,29.0,,-15.57,-24.1,
아바코,ok,20260807.0,119.68,-92.5,,-126.84,,적자전환
비엠티,ok,20260810.0,486.47,23.9,,62.96,84.2,
인터로조,ok,20260807.0,294.48,-6.0,,59.84,-5.7,
KG파이낸셜,ok,20260805.0,622.45,10.8,,88.14,17.76,
