종목명,기준일,수주잔고(억원)
제너셈,20240814,390.4
에스엔시스,20260515,2642.0
에스엔시스,20251113,2602.8
에스엔시스,20250822,2466.7
티에스이,20260515,956.2
티에스이,20251114,522.3
티에스이,20250814,410.2
티에스이,20250515,360.2
티에스이,20241114,568.4
티에스이,20240814,354.2
파크시스템스,20260514,871.3
파크시스템스,20251114,645.3
파크시스템스,20250814,692.6
파크시스템스,20250515,893.0
파크시스템스,20241114,753.6
파크시스템스,20240814,829.8
현대건설,20260515,923237.0
현대건설,20251114,960914.0
GS글로벌,20260514,77.8
삼성에스디에스,20260515,142.2
삼성에스디에스,20251114,93.4
삼성에스디에스,20250814,90.1
삼성에스디에스,20250515,92.3
삼성에스디에스,20250311,89.7
삼성에스디에스,20241114,83.3
삼성에스디에스,20240814,0.0
녹십자,20260515,486.5
녹십자,20251114,187.2
녹십자,20250814,412.0
HD현대마린솔루션,20260515,2241.1
HD현대마린솔루션,20251114,2450.6
HD현대마린솔루션,20250814,1986.9
HD현대마린솔루션,20250515,1662.5
HD현대마린솔루션,20241114,2080.7
HD현대마린솔루션,20240813,2121.7
진성티이씨,20260515,3905.2
진성티이씨,20260316,4851.2
진성티이씨,20251114,4851.2
진성티이씨,20250814,4851.2
진성티이씨,20250515,4851.2
진성티이씨,20250318,5410.1
진성티이씨,20241114,5410.1
누보,20260514,0.1
누보,20251114,56.4
누보,20250814,47.9
누보,20250514,23.2
누보,20241114,222.2
누보,20240813,4.0
비에이치아이,20260515,24000.4
비에이치아이,20251113,22009.2
비에이치아이,20250814,23336.9
비에이치아이,20250515,18623.0
비에이치아이,20241113,11044.0
비에이치아이,20240814,8309.2
지앤비에스 에코,20260429,417.6
지앤비에스 에코,20251104,622.9
지앤비에스 에코,20250826,441.9
지앤비에스 에코,20250530,91.7
지앤비에스 에코,20241129,23.7
지앤비에스 에코,20240814,27.6
LG,20260515,40652.0
LG,20251114,37580.3
LG,20250814,39899.4
LG,20250515,35378.1
LG,20241114,211513.5
LG,20240814,211513.5
HD현대일렉트릭,20260515,731.5
HD현대일렉트릭,20260316,2.0
HD현대일렉트릭,20251114,2.0
HD현대일렉트릭,20250814,2.0
HD현대일렉트릭,20250515,2.0
GST,20260511,11.6
GST,20251114,750508.2
GST,20250814,490522.1
GST,20250515,346853.5
GST,20241114,1178821.1
GST,20240814,346853.5
현대오토에버,20260515,112.0
현대오토에버,20260318,107.8
현대오토에버,20251114,100.7
현대오토에버,20250814,142.0
현대오토에버,20250515,107.4
현대오토에버,20241114,101.7
현대오토에버,20240814,86.6
SK이터닉스,20260514,4550.7
SK이터닉스,20251113,6387.0
SK이터닉스,20250813,5619.1
SK이터닉스,20250515,5879.6
SK이터닉스,20241114,7279.1
SK이터닉스,20240814,5040.5
동성화인텍,20260514,20764.0
동성화인텍,20251114,22196.3
동성화인텍,20250814,20290.8
동성화인텍,20250515,23483.9
동성화인텍,20241113,19619.0
POSCO홀딩스,20260515,482799.0
POSCO홀딩스,20251114,464994.9
POSCO홀딩스,20250814,460927.2
POSCO홀딩스,20250515,410819.5
POSCO홀딩스,20250312,396229.7
POSCO홀딩스,20241114,407080.3
POSCO홀딩스,20240814,405548.9
한라IMS,20260514,2449.0
한라IMS,20251113,1717.0
한라IMS,20250814,1683190626.0
한라IMS,20250515,1368.9
한라IMS,20241114,1490.5
한라IMS,20240814,1228.1
이노에이엑스,20260515,181.1
이노에이엑스,20260318,181.6
이노에이엑스,20251114,161.8
이노에이엑스,20250814,157.9
이노에이엑스,20250515,165.4
이노에이엑스,20241114,131.1
이노에이엑스,20240814,169.7
넥센타이어,20260515,8886.0
넥센타이어,20251114,7996.8
넥센타이어,20250814,7985.1
넥센타이어,20250515,8440.2
넥센타이어,20241114,7807.3
넥센타이어,20240814,7743.9
HDC,20260515,5895.7
HDC,20251114,4724.9
HDC,20250812,4993.9
HDC,20250515,5601.1
HDC,20241114,4412.6
HDC,20240814,5077.2
